"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","150","13-CC0603MPY5V9BB104CT-ND","CC0603MPY5V9BB104","CAP CER 0.1UF 50V Y5V 0603","","150","0","0.01990","2.99"
"2","10","399-C0603C103K5RACTUCT-ND","C0603C103K5RACTU","CAP CER 10000PF 50V X7R 0603","","10","0","0.00900","0.09"
"3","10","399-C0603C471J5GACTUCT-ND","C0603C471J5GACTU","CAP CER 470PF 50V C0G/NP0 0603","","10","0","0.04900","0.49"
"4","3","587-3170-1-ND","UMK107B7474KA-TR","CAP CER 0.47UF 50V X7R 0603","","3","0","0.15000","0.45"
"5","10","490-7203-1-ND","GRM188R61E475KE11D","CAP CER 4.7UF 25V X5R 0603","","10","0","0.03800","0.38"
"6","3","445-174426-1-ND","CGA3E3X7R1H334K080AB","CAP CER 0.33UF 50V X7R 0603","","3","0","0.22000","0.66"
"7","3","13-CC0603KRX7R7BB824CT-ND","CC0603KRX7R7BB824","CAP CER 0.82UF 16V X7R 0603","","3","0","0.11000","0.33"
"8","10","399-C0603C102K5RACTUCT-ND","C0603C102K5RACTU","CAP CER 1000PF 50V X7R 0603","","10","0","0.00900","0.09"
"9","10","1292-1542-1-ND","0603N680J500CT","CAP CER 68PF 50V C0G/NP0 0603","","10","0","0.02000","0.20"
"10","10","1276-1063-1-ND","CL10B473KB8NNNC","CAP CER 0.047UF 50V X7R 0603","","10","0","0.02900","0.29"
"11","10","490-GCM1885C2A911FA16DCT-ND","GCM1885C2A911FA16D","CAP CER 910PF 100V C0G/NP0 0603","","10","0","0.09000","0.90"
"12","10","490-9669-1-ND","GRM1885C1H472JA01D","CAP CER 4700PF 50V C0G/NP0 0603","","10","0","0.06000","0.60"
"13","10","720-VJ0603Y681KXACW1BCCT-ND","VJ0603Y681KXACW1BC","CAP CER 680PF 50V X7R 0603","","10","0","0.05000","0.50"
"14","10","399-C0603C221K5RACTUCT-ND","C0603C221K5RACTU","CAP CER 220PF 50V X7R 0603","","10","0","0.04000","0.40"
"15","2","490-GRM21BR60G107ME11KCT-ND","GRM21BR60G107ME11K","CAP CER 100UF 4V X5R 0805","","2","0","0.53000","1.06"
"16","12","490-12737-1-ND","GRM188R61E106MA73J","CAP CER 10UF 25V X5R 0603","","12","0","0.14200","1.70"
"17","100","587-3247-1-ND","UMK107AB7105KA-T","CAP CER 1UF 50V X7R 0603","","100","0","0.02900","2.90"
"18","10","490-10731-1-ND","GRM188R61E225KA12D","CAP CER 2.2UF 25V X5R 0603","","10","0","0.04900","0.49"
"19","12","478-KGM15CR51C226MTCT-ND","0603YD226MAT2A","CAP CER 22UF 16V X5R 0603","","12","0","0.29700","3.56"
"20","10","846-1198-1-ND","SML-D13M8WT86","LED GREEN DIFFUSED 1608 SMD","","10","0","0.13200","1.32"
"21","14","1N4148W-13FDICT-ND","1N4148W-13-F","DIODE STANDARD 100V 150MA SOD123","","14","0","0.06000","0.84"
"22","10","1N4148WTCT-ND","1N4148WT","DIODE STANDARD 75V 200MA SOD523F","","10","0","0.06900","0.69"
"23","2","36-3568-ND","3568","FUSE HOLDER BLADE 500V 30A PCB","","2","0","1.25000","2.50"
"24","25","WM3800-ND","0039281023","CONN HEADER VERT 2POS","","25","0","0.48300","12.08"
"25","25","WM3700-ND","0039012020","CONN RCPT HSG 2POS DUAL","","25","0","0.20000","5.00"
"26","6","S7111-ND","PPPC082LFBN-RC","CONN HDR 16POS 0.1 GOLD PCB","","6","0","0.85000","5.10"
"27","10","WM16836-ND","0768290102","CONN HEADER VERT 2POS","","10","0","0.88700","8.87"
"28","10","WM10385-ND","1716920102","CONN RCPT HSG 2POS MEGA-FIT","","10","0","0.34900","3.49"
"29","2","WM4713-ND","0430451812","CONN HEADER VERT 18POS 3MM","","2","0","1.95000","3.90"
"30","4","WM26557-ND","2068320801","CONN HEADER VERT 8POS 3MM","","4","0","1.98000","7.92"
"31","4","WM26545-ND","2064610800","CONN RCPT HSG 8POS 3.00MM","","4","0","0.60000","2.40"
"32","1","1951-2505-ND","TMV 1205D","DC DC CONVERTER +/-5V 1W","","1","0","6.40000","6.40"
"33","2","945-R-78K5.0-0.5-ND","R-78K5.0-0.5","0.5A DC/DC-CONVERTER 'INNOLINE'","","2","0","2.79000","5.58"
"34","1","1866-3063-ND","IRM-60-12","AC/DC CONVERTER 12V 60W","","1","0","15.00000","15.00"
"35","10","4878-BC549CCT-ND","BC549C","TRANS NPN 30V 0.1A TO-92","","10","0","0.08300","0.83"
"36","2","4878-BC559CCT-ND","BC559C","TRANS PNP 30V 0.1A TO-92","","2","0","0.14000","0.28"

